asin,brand,product_name,category,map_price,tag
B0D61L1HRK,Crocs,"Crocs Unisex Classic Clog Pink Milk Men's 4, Women's 6 Medium",,49.99,Clogs
B0DJ19VGDD,LEGO,"LEGO Botanicals Mini Orchid Building Set - Artificial, for Home Decor, Adults Ages 18+ - Gift for Birthdays - Indoor Plant Decorations for Table, Desk, Office - 10343",,29.99 ,Botanicals
B0BH45SNRM,LEGO,"LEGO Roses - Building Toy for Kids, Girls & Boys, Ages 8+ - Artificial, Fake Roses for Home Decor & Display - Gift Idea for Plant & Flower Lovers - 40460",,14.99 ,Roses
B0DRW6C2RF,LEGO,"LEGO Botanicals Happy Plants Building Toy for Kids, Girls, and Boys 9+ - Playroom Decor for Desk or Shelf - Gift for Easter Basket - Artificial Indoor Plant for Play & Display - 10349",,22.99 ,Botanicals
B0FMS84RFJ,LEGO,"LEGO Speed Champions Time Machine from Back to The Future Building Toy for Kids - Pretend Play & Display Car Toy W/2 Build Modes for Boys & Girls, Ages 9+ - Gift Ideas for Birthdays & Fans - 77256",,27.99 ,Speed Champions
B0CGY4X222,LEGO,"LEGO Botanicals Bouquet of Roses Artificial Flowers - Fake Red Roses Building Set for Adults, Ages 18+ - Gifts for Birthdays for Her - Home Decor for Table Display - 10328",,59.99 ,Botanicals
B0BRBMNN93,LEGO,"LEGO Heart Ornament Building Toy Set - Fun Arts and Crafts Idea for Girls and Boys, Ages 9+ - Display on The Wall as Home Decoration - Gifts for Kids - 40638",,12.99 ,Heart Ornament
B0FMS7CRHX,LEGO,"LEGO Botanicals Daisies Building Toy - Artificial Flowers Crafting Kit for Girls & Boys, Ages 9+ - Gift for Easter Baskets - Kids Room Decor for Book Shelf or Desk - 11508",,14.99 ,Botanicals
B09Q4L157D,LEGO,"LEGO Botanicals Orchid - Artificial, Fake Indoor Flowers Building Set for Home, Kitchen, Desk Decoration, Adults Ages 18+ - Gift for Birthdays - 10311",,49.99 ,Botanicals
B0FMS727XH,LEGO,"LEGO Looney Tunes Sweetheart Tweety Bird Building Toy for Adults & Kids - Tweety Figure W/Display Pedestal & Accessories for Girls & Boys, Ages 12+ - Gift for Looney Tunes Fans - 40824",,34.99 ,Looney Tunes
