seller_id,seller_name,first_seen
A3VZHMRV3J141P,YETI Authorized,2026-02-24
A1GGYF6XSX3F2O,AltCom,2026-02-24
A3QVFUAP98IBL3,OnlineSellingFirm,2026-02-24
